Unnamed: 0,name,place_id,rating,user_ratings_total
7186,大撰生猛活海鲜,ChIJCfgLs56pQjQR8_P4-kUVwZI,3.7,3335.0
7188,Hangzhou Xiao Long Bao,ChIJDw3oEJ2pQjQRdDHV1cDJmkM,3.8,6841.0
7189,Shengyuan Xiao Long Bao,ChIJizrvGZ2pQjQRbR1iuhPz8Nw,3.8,3904.0
7190,力量拉麵（信義店）,ChIJS0ZXMWKpQjQRv3gQQp_DzQQ,4.2,441.0
7192,揪鬪本家,ChIJWRDJT52pQjQRV2yo14WE2u8,4.3,399.0
7193,愛欣早午餐,ChIJmd8uVZ2pQjQR5iGV-SIgMro,4.2,123.0
7194,潮州包子,ChIJ07AVU52pQjQRoyssFyU9yW4,3.8,174.0
7197,Héhuān Dāoxiāomiàn (Hehuan Knife Cut Noodle Restaurant),ChIJx-xgX5ypQjQR_zvUwxyG-8Y,4.4,2733.0
7199,御園坊,ChIJF1FEoIKpQjQR-Z6Bb6lWuas,3.6,193.0
7203,上癮水產麵食/海鮮麵-東門店,ChIJiyO2mWCpQjQR8ESyCmUg34c,4.9,108.0
7204,魚バカ,ChIJy4yYVdCpQjQRnF1ARrfXBC4,4.2,272.0
7208,12 Hotpot (Taipei Xinyi),ChIJwVCWXMqrQjQRg85iIjoKkjc,4.1,1853.0
7209,東門興記手工水餃港式點心,ChIJg5conoKpQjQRcpCQX-l7DNY,4.0,1136.0
7210,黃媽媽米粉湯,ChIJc7wmvYKpQjQRNkruizQPaoo,4.1,365.0
7211,東門鴨莊 中正總店,ChIJNYbXnoKpQjQRjKP7_-J9J1E,3.8,1213.0
7221,Ya Fung Fishball,ChIJzZbJeHipQjQR-rK6HUZzzxA,3.8,513.0
7227,潮味決•湯滷專門店 台北東門分社,ChIJB9AC1SSpQjQRK7EnxE5CNT0,4.6,332.0
7230,Drbeef East Gate,ChIJJz0ag4KpQjQR_SjMdg2b2Qs,4.3,434.0
7233,富久湯圓大王,ChIJDfL7moKpQjQRyklJJJ35nQc,4.1,261.0
7235,東門鵝肉攤,ChIJUYpCmoKpQjQR-zdFz407rik,3.9,153.0
7236,Läbu Café,ChIJlww7h4KpQjQRB0h1cf2HWQQ,4.2,810.0
7238,肉球森林,ChIJyz_KKOapQjQRIqFpJAnEjE4,4.8,1569.0
7239,東門豆漿,ChIJZyKcnPmpQjQRFS4NOYhA8L0,3.9,206.0
7240,Grow Life 靠過來桌遊咖啡廳,ChIJ33MxVX6pQjQRRD957u4F5IU,4.8,382.0
7241,Gusto Pizza,ChIJlSAfC4KpQjQRPK_o-n52sn0,4.6,1445.0
7243,麗園壽司,ChIJGf55xX6pQjQRpqF-qvJKaWI,4.0,602.0
7244,Sugar Bistro,ChIJfyatdoKpQjQRIGP49wVWMIQ,4.5,1437.0
7245,信遠齋 燻雞·滷味（原 逸華齋）,ChIJ0TtBqnipQjQRlHLulxi-dLU,4.1,376.0
7246,小南門傳統豆花東門店,ChIJk6XGmuCpQjQRZUZ1NIEJpdM,3.2,137.0
7250,奇福扁食,ChIJE5SRqnipQjQRiDsDW3udq8s,4.1,932.0
7251,A Fabules Day,ChIJKyPcmlypQjQRVRSmnpxmE8Q,3.6,590.0
7252,Town by Bryan Nagao Taipei,ChIJW7CoeoKpQjQR0IzLnzI7WM4,3.9,300.0
7253,泰味閣,ChIJBwzyFn-pQjQRZgHmPmQTBuE,4.3,309.0
7254,金瑪麗義大利麵,ChIJNSRpFH-pQjQR7q6wk3dSNdU,4.7,283.0
7255,摩斯漢堡 新生店,ChIJR4y1_YapQjQRtMACpCN4HHo,3.7,724.0
7256,大安森林食堂,ChIJ48cwb3-pQjQR5g6caeveRaQ,3.6,1858.0
7257,童遊精靈館-台北大安分館,ChIJp_3ktrWpQjQRW9liNFM3X-Y,4.8,211.0
7258,綠水棧,ChIJf81qXH-pQjQRx6GxZDxlLi8,4.5,280.0
7259,Kao Chi YongKang Main Restaurant,ChIJDZpRFYKpQjQRcPWp0SKgYIQ,3.9,3746.0
7260,正記美食南京板鴨,ChIJq6qqqoOpQjQR7LTF5aLFFdQ,3.9,508.0
7261,Din Tai Fung Xinsheng Branch,ChIJA-U6X-epQjQR-T9BLmEfUlc,4.6,2332.0
7262,君悅排骨 信義直營店,ChIJH3_v4YGpQjQRqaf1d6LZFAw,3.8,435.0
7263,泰讚泰式料理,ChIJH3_v4YGpQjQRjtHXEr3p3NA,4.0,493.0
7264,巿民大道涮涮鍋信義店,ChIJJStfYn-pQjQRM0eW_46Zu1Q,3.7,511.0
7265,臉書置頂文必讀 兔Dreams兔子咖啡餐廳,ChIJVU6GUYyrQjQRB2YO6yBe9rU,4.5,321.0
