Unnamed: 0,name,place_id,rating,user_ratings_total
6812,龜山島榕樹下,ChIJyQr_Hc-rQjQRLzQaHMiispk,4.2,187.0
6814,Wild Donkey 野驢小餐館,ChIJyxZfyDKrQjQRujZwkh7wl7Q,4.2,800.0
6815,Pizza Chez,ChIJjanzfdarQjQRp-ekz1BpI24,4.4,273.0
6816,ChiaoDuo House巧哚洋房,ChIJcUINsMirQjQRjfEi_dCI_jU,4.8,604.0
6817,sheep+pony,ChIJCyMzM6KrQjQRtDGtsJEnmN0,4.3,523.0
6820,伍佰雞屋,ChIJbdBsusirQjQReObJqytdGAU,4.0,240.0
6821,甜上心鮮果輕食茶飲-延吉店,ChIJqbcJ4O2rQjQR1SIC29amMrA,4.3,131.0
6822,鮨 天本,ChIJ_0EKANGrQjQRvdtQKocbQlk,4.3,260.0
6827,初炸小食店,ChIJhatyocirQjQRTLa-yWIdDng,4.3,651.0
6828,【Book ing bar 東區店】東區推薦｜東區餐酒｜東區酒吧｜東區餐廳｜大安區酒吧｜大安餐酒｜約會｜聚餐,ChIJdQruf2irQjQR5LIOoB0hvLs,4.7,818.0
6830,HOMELESS BISTRO 吾家可歸餐酒館,ChIJmUN2n8irQjQRk6NSYS9OFCA,4.2,405.0
6831,Greedy Bistronomy Cafe 咖啡·餐酒吧,ChIJZ2twoMirQjQRJNJcu10orfk,4.3,886.0
6833,La Piola Cucina Italiana,ChIJW2hXnsirQjQReAynJ_RDVsY,4.5,632.0
6834,碼頭老火鍋,ChIJXwDNlsirQjQR_clPeINuzIQ,4.6,1168.0
6835,Flow & and Row Café,ChIJtZp5SnCrQjQRIi-0V7u8qpI,4.3,129.0
6836,冷藏肉專門 鍋無敵【光復店】,ChIJDdirH8arQjQR3g_kBLyWpwQ,4.2,1561.0
6837,placeee 場所,ChIJxcrmDVSrQjQRuREs1tHCvN4,4.8,120.0
6838,JE Kitchen,ChIJ13ifm8irQjQRETLwhRw4Lg8,4.4,689.0
6839,Le Kief Ling Jiu Tailor,ChIJ2YAYnsirQjQRkE0D2f_-vVc,4.2,739.0
6840,天府麵庄,ChIJj-bPIcarQjQRpvwgfW2_zpM,4.2,624.0
6842,TAKEOUT CURRY SHOP 咖哩專門店,ChIJe-xManurQjQR86B2AsLZUD8,4.8,462.0
6845,魚君 さかなくん 鮮魚專門居酒屋,ChIJJU_sHsarQjQRuZ07ZmzLuEI,3.9,938.0
6846,居酒屋 風小路,ChIJRcH1ncirQjQRoJzaR3soYPE,4.4,298.0
6847,允壽司,ChIJB-iGqsirQjQRIL5J2Rzr3tA,4.4,153.0
6848,Toast Chat,ChIJASafGMarQjQRtDMLDBSxPL4,4.6,2773.0
6849,年三十鐵板串燒居酒屋,ChIJ7x0H_QyrQjQRB1LQhLSpzKY,4.6,945.0
6850,爵色陶燒涮涮屋,ChIJn5JAIcarQjQRQrwmsY7STpY,4.6,103.0
6851,東丸壽司,ChIJYyNEncirQjQR8M5xpulusXo,4.4,219.0
6852,宮川日本料理,ChIJrSyYU8-rQjQRZvlCKEMjyr0,3.6,1861.0
6854,千璽鐵板燒,ChIJBRNtuh2rQjQRkBTb-E-ICh0,4.7,146.0
6855,Dancing Pig Bistro,ChIJif-sI8arQjQR8xPQsGhwaqQ,4.6,3289.0
6856,南城泰式料理,ChIJvyQPssWrQjQRy8QJ125cIUg,3.4,447.0
6858,創作串燒-野崎,ChIJH36iliirQjQRd3CYMqG7tLI,4.8,478.0
6859,彩虹熱狗餐車,ChIJIapnQAGrQjQRwnn0wIMI3vQ,4.4,178.0
