Unnamed: 0,name,place_id,rating,user_ratings_total
6247,曼谷泰式料理（光復店）,ChIJIRBT-Y6rQjQRIQ7PlYKjTKk,5.0,1466.0
6248,ON TAP,ChIJuaugn8irQjQRGK9M9fzfO6c,4.2,2217.0
6249,陳記外省麵,ChIJcZ4GBcarQjQRiPL6EljLzKU,3.9,749.0
6250,南平鵝肉延吉店,ChIJ1WSJmmerQjQRjFlXcu-bvDE,4.0,135.0
6253,Settle Taipei,ChIJqc0_fgqrQjQR0suDnoxQLLg,4.7,342.0
6255,惡犬食堂,ChIJTfKV4MWrQjQRfS4hUsEB20c,3.9,985.0
6256,湄河泰國料理,ChIJNV3BG8arQjQROIRjDvRg88I,4.3,741.0
6257,BlueFish樂魚,ChIJK_4AmL6rQjQRDK1Fz-U0pjk,3.8,234.0
6258,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4,1496.0
6259,火鍋106-粵式豬肚雞煲鍋光復店,ChIJyXGTsserQjQRr2X28B6uE5E,4.4,988.0
6260,起家雞韓式炸雞 光復店,ChIJJY77McarQjQR5mYi1SfV9Xg,3.9,2462.0
6261,品田牧場日式豬排 台北光復南店,ChIJVbhsAJmrQjQRDB6GiaVEv40,4.7,1466.0
6262,大和日本料理忠孝店,ChIJgaeyrMerQjQRq0JMl8eWUNc,4.2,1466.0
6263,山本漢堡排,ChIJ2S6bSsarQjQRoYoAwWWKZGM,4.1,2134.0
6265,Osteria Rialto-餐酒館 義大利麵 窯烤pizza 人氣訂位推薦 2022必吃推薦美食 道地異國料理 創意料理 聚餐慶生餐廳 Italian restaurant東區國父紀念館附近 PTT Dcard,ChIJ0yaH1RCrQjQR52gRDsxW-UA,4.3,435.0
6268,必勝客 光復餐廳店,ChIJdZ60BserQjQR3cKEXVMVFBU,4.1,4005.0
6269,churros 吉那圈咖啡 旗艦店,ChIJ-Q38SMarQjQRxdhc6ugrWiA,4.1,1603.0
6270,布蘭梅德國下午茶館,ChIJm15tM8arQjQRv0E1SZ5BNaU,4.2,202.0
6271,CAMPUS CAFE 光復店,ChIJL7QuNsarQjQR8pFYCOhIf-w,3.8,825.0
6272,貳食柒食堂,ChIJXRkcRsarQjQRzCDZw3RrfKA,3.8,309.0
6273,Tokiya,ChIJT1w6Ay6qQjQRGGGPvH4mtwk,4.1,2556.0
6274,McDonald's Taipei Guangfu,ChIJ5Zls-surQjQRvDrz7KyVZRw,3.8,3271.0
6275,McCafé咖啡-台北光復店,ChIJXw4v5OqrQjQRSGnRSWnGt1U,4.3,169.0
6276,Wendel's German Bakery & Bistro,ChIJDVzXR8arQjQRPVGjj1Hcb6s,4.5,1510.0
6278,豆舖子(光復店),ChIJu80XZZWrQjQR75OXbpbdW8o,4.1,418.0
6279,維記茶餐廳 / Victoria Restaurant,ChIJa96dMMarQjQR2XWIIpBazxw,3.3,1096.0
6280,Hotties Fried Chicken - 美式辣炸雞,ChIJ6ah8QVGrQjQRV5ifhbIP1v8,4.5,938.0
6281,小倉屋鰻魚飯 光復本店,ChIJgyNpOsarQjQRzBTe39lNNnA,4.0,1945.0
6282,北投魷魚,ChIJP-bC0serQjQRwGL3cKqlZKI,4.1,795.0
6283,MARU SUSHI,ChIJT1oW08erQjQRD1dVyNQjPbQ,4.5,160.0
6284,Aunt Su's Pizza House,ChIJucJi0cerQjQRFkntsjnV2U8,4.1,8138.0
6285,Don Don Ga Korean BBQ,ChIJwQFTOsarQjQRsPULoBgEabk,4.0,2043.0
6286,筷子餐廳,ChIJySwN8durQjQRpe5ndb5Zriw,4.2,727.0
6288,云滇 Yundish（光復店）,ChIJA2I308erQjQR6GG5TJzlSbY,4.1,1070.0
6289,PASTAIO 手工義大利麵 光復店,ChIJoWstbC6rQjQRS5JYXUqAzAU,4.0,1131.0
6291,パーラー ニューオオサカ parlour new osaka,ChIJN6If_8OrQjQRx_hZx8F_lrw,4.6,331.0
6292,泰之泰雲泰料理,ChIJCcOsKMarQjQRwz3nwwfc6to,4.0,331.0
6293,布朗尼咖啡餐廳Brownies Cafe,ChIJzyk2-LirQjQRQy3ZVyOSYXk,4.3,271.0
6294,chateau zoe 酒窖餐廳,ChIJcb_dVrirQjQRMgYM__vPhZo,4.5,350.0
6295,屋頂上的貓 私廚,ChIJBaF_VrirQjQRvZhFUoL5--I,4.3,441.0
6296,騏麟素食館,ChIJNdqT_rirQjQR5wsvVn_hM4o,4.3,257.0
6297,王鍋屋逸仙總店-酸白菜鍋專門店 Shabu Ong｜台灣觀光局推薦特色鍋物台北信義大安東區火鍋推薦美食餐廳,ChIJvcriWVSrQjQRCtmJSd7Fye0,4.2,430.0
6298,春發汕頭乾拌麵,ChIJ5XCWYKarQjQRsqPYr9nEXog,4.1,452.0
6300,旬味 自然鍋物-台北美食 信義區美食 信義區火鍋 信義區外帶美食 信義區好吃推薦 信義區高CP值火鍋,ChIJZVGPdlCrQjQRYQbyyBX7IaI,4.9,774.0
6301,30 Thirty 老酒館,ChIJg5qWU7irQjQR2loPcpgDxdE,4.4,1614.0
6303,Kame House 夏威夷餐廳,ChIJFYhKFhyrQjQRBOJGjEtUEy8,4.8,266.0
6307,Cin Cin Osteria Yixian,ChIJW9eMArmrQjQRu01QlV9Ome8,4.4,1859.0
6309,七分飽手作健康餐盒,ChIJHwXTiUOrQjQRQbgkW2wDFoY,4.5,136.0
6312,HANNA Pasta Café パスタ カフェ,ChIJ5SSP_XWrQjQRC_HHQ6igu0g,4.7,308.0
6313,Yes me 手研早餐,ChIJ5_VtuLarQjQRcICLQI9MEmY,4.4,262.0
6315,Twelve Basket Congee Hot Pot Sun Yat-Sen,ChIJi2tnA7mrQjQRKOog2RCmH1k,4.3,1167.0
6317,Bigtom Eis Cafe,ChIJX22cCrirQjQRt1XXVd06uJc,4.0,1291.0
6318,Bao auspicious Vegetarian Cuisine Kitchen,ChIJl-gIBLmrQjQRLGdPxi9QXHg,4.8,422.0
6320,涓豆腐 統一時代店,ChIJd7nA9uKrQjQRMiFm_v9QFDM,4.1,392.0
6322,繼光香香雞－統一時代專櫃,ChIJ1z2PqE6rQjQRlCAzDKheaZE,4.8,188.0
6325,涮乃葉 統一時代市府店,ChIJQeGuX7mrQjQRtpb4XKON_vE,4.1,1698.0
6326,Lady nara 曼谷新泰式料理 台北統一時代店,ChIJU4V0dSSrQjQRCyJmrbiqi3k,4.3,1484.0
6327,博多天麩羅 山海,ChIJreauX7mrQjQR6cVeDmpQsho,4.3,1790.0
6328,靜岡勝政日式豬排 統一時代台北店,ChIJUWfkaLmrQjQRi0CohtPmM7g,4.0,1658.0
6329,北村豆腐家 統一時代台北店,ChIJP7Nv4LurQjQRH4HEg3Ob7Dc,4.3,1775.0
6330,Suage 北海道湯咖哩 統一時代店,ChIJGV8gQaGrQjQRHD7-cip16w0,4.1,239.0
