Unnamed: 0,name,place_id,rating,user_ratings_total
1853,台灣猛男蚵仔煎,ChIJu1D5tbepQjQRT-QPNGLo7l4,4.5,295.0
1854,潭鮮台南虱目魚,ChIJj6AYkA2pQjQR6lQzj4EWh6U,3.4,210.0
1855,愛樂廚房,ChIJDcdGkoupQjQR63Jx4nLDFRE,3.7,1134.0
1856,台大牛莊,ChIJp5aWmoupQjQRkY4zLogrhOU,4.1,575.0
1857,Sate Store,ChIJ2y44g4upQjQRZgBkRrSr220,4.2,448.0
1858,Hong Kong Hen's,ChIJ2y44g4upQjQRUyE9HmNk1ZY,3.8,738.0
1859,瓦崎燒烤火鍋 公館店,ChIJzzw-qZWpQjQRXg011AO6P1E,4.3,1642.0
1862,十二巷拉麵,ChIJ9eASooupQjQRTsk8akzNros,3.9,1052.0
1863,Cui Lian Kitchen 淬煉廚房,ChIJqar6ooupQjQR2EPaNZmvDaw,4.7,428.0
1864,小公館 cafe-團體聚餐包場 異國美食料理 咖啡甜點 運動餐廳(特色人氣推薦),ChIJr5BemIupQjQRzw4yWb3jvcU,3.8,342.0
1867,金雞園,ChIJNR1gmIupQjQRHvDHWLrvxFk,3.8,1104.0
1868,藍家割包,ChIJzVr3l4upQjQRHTNqYkEgR40,4.0,5108.0
1869,大福利排骨大王,ChIJY-PpkIupQjQRNAef9MdsW4k,3.8,896.0
1870,Chongshun Sichuanese Restaurant,ChIJazSMmIupQjQRKRMV5kOmHi4,4.2,1138.0
1871,Mr Tendonya,ChIJPcmlg4upQjQRk6lTJ-goJ5w,3.7,2404.0
1872,阿薄郎薄皮餃子台式小酒館-台北二郎公館店 Uncle A-Bo-Lang Taiwan Bistro,ChIJnd7mBeupQjQRvDqC-9Rv_8s,4.1,288.0
1875,好吃好吃 2號店,ChIJrfUpGjOpQjQRDnFOEvCTOlI,3.7,792.0
1879,Free Style 義大利麵,ChIJV4ORn4upQjQRDDNNdhhMaNs,4.0,470.0
1880,12MINI MRT Gongguan Branch,ChIJkVHJ1PWpQjQRuN_c0G1T8qQ,3.8,1141.0
1881,靜壽司,ChIJPQpyvYupQjQRRgd96jxz5_I,4.3,737.0
1882,站食可以,ChIJf9WgLTqpQjQRCCN3rDrfwLs,4.5,746.0
1883,魔法雞排,ChIJJ07sEIupQjQRkXeWp79RI0s,3.5,291.0
1886,劉家水煎包,ChIJje6ADoupQjQRib6Ar3t0GRw,3.4,646.0
1887,源士林粥品,ChIJddB-FnOpQjQRtpaWgedVZPI,3.5,208.0
1888,品味牛肉麵,ChIJFbfbHoupQjQRZQCTVBDRSZ8,2.3,204.0
1890,我家涼麵,ChIJu7k0HIupQjQREs68hFx6gV0,2.7,545.0
1891,三米三小館,ChIJIbOywPCpQjQR1DLv4x8k8mA,4.2,261.0
1892,小旺號 - 公館店,ChIJJZUgxIqpQjQRNgt_MjaUBB0,4.4,1311.0
1893,曼德樂泰式料理,ChIJWzVrzpupQjQRak2OeMou72M,3.7,153.0
1894,無鍋不樂,ChIJV8k7QBGoQjQRqIO19mBwWNY,4.0,403.0
1897,The Misanthrope Society 厭世會社,ChIJLXON4IOpQjQRSJqYKruGqJU,4.6,662.0
