Unnamed: 0,name,place_id,rating,user_ratings_total
8239,劉媽媽飯糰,ChIJbcqhWgipQjQRdS15FcRWfsI,4.2,1271.0
8240,金華麵店,ChIJKbtRppypQjQRFgdt0J0Razk,3.8,1542.0
8245,American Buffalo char-grilled steak,ChIJkT9RupupQjQROzXoveyqnmU,4.5,3046.0
8247,Yamaarashi Guting Restaurant,ChIJBRzS29qrQjQRM4l1L33IdT0,4.4,1976.0
8248,阿里港鵝肉Goose's Food,ChIJa4lFpZupQjQRcOdiX6KZirY,3.9,270.0
8250,廖家牛肉麵,ChIJgbwEgJypQjQR6zkPQ6rpaNI,4.1,2211.0
8252,名辰牛肉麵,ChIJn7oSQIOpQjQRpDP0cur0I48,4.0,203.0
8253,政江號,ChIJy4rgQoOpQjQRXqxro79-yTE,4.1,2247.0
8254,犬犬家,ChIJazf9zYSpQjQR4sLh8f_HfKM,4.7,237.0
8255,無一物海產粥,ChIJIRNb73OpQjQRVmI3iE_whtw,4.2,641.0
8256,當家小食堂,ChIJoZKDFIOpQjQRQbCr57IUV8A,4.4,137.0
8257,來了就吃,ChIJLzN12tmpQjQR-WUw4otosHc,4.9,285.0
8258,摩斯漢堡 金山店,ChIJVVVVVRWsQjQRmiia4KI2hXk,3.9,1328.0
8259,Muko Brunch,ChIJRVJvk9upQjQRAMrzOi3Zph0,4.2,825.0
8262,禾禾豆漿店,ChIJUfA4X4OpQjQRoFmoavTrGc8,3.6,105.0
8263,三進自助式餐廳,ChIJYe9FZ4OpQjQRvgGBqdtspvA,2.3,353.0
8264,Nationwide Healthy Vegetarian (Da'an Branch),ChIJTXTSX4OpQjQRluCMMpNegnA,4.2,948.0
8265,不一樣饅頭店,ChIJEXhozoSpQjQRiZwHL3PE1kM,4.2,184.0
8266,Da Shixiong Beef Noodle Restaurant,ChIJdfe8pISpQjQR5vHdpiF8gfA,4.1,441.0
8267,Lao Wang Hongshao Beef Noodle Restaurant,ChIJ99KeQJupQjQRQA6rr2fzqvo,4.2,1390.0
8268,貳房苑 Livingreen,ChIJXRjJzCyqQjQR8wBF9jI4s_g,4.1,812.0
