Unnamed: 0,name,place_id,rating,user_ratings_total
1991,Xiong Zan Beef Noodle Restaurant,ChIJz6lpsQ6pQjQRpY3QXcYMdJg,3.4,105.0
1992,Yong He Soy Milk,ChIJUZdmsQ6pQjQRIJAU5G6xJgs,3.6,1987.0
1993,鐵 F.f Teppanyaki 鐵板燒 西門店,ChIJXcc1cfWpQjQRJ-bi4HxVJls,4.4,343.0
1994,福州新利大雅餐廳,ChIJ9wB8GgmpQjQRGd1_bpxxD38,3.7,388.0
1995,Punctuation board games Tea interest - Simon Museum concept,ChIJL7EmjAepQjQRBeH8MGBcBvk,4.7,238.0
1998,夠嗆麻辣香鍋 Gouqiang Mala Hot Pot(西門店),ChIJFclH4KepQjQRsXjuaHVy3Lc,4.3,267.0
2002,西門靖居酒屋 峨眉店,ChIJa4fq7gipQjQRI1DI4jXduws,4.2,324.0
2003,我家川菜,ChIJqXe38wipQjQRimcHAyFPjwU,4.1,372.0
2006,真川味1店,ChIJ__m7jQipQjQR0l1oiGhOohk,4.1,2475.0
2007,圓夢炸雞,ChIJ59iqIVOpQjQRT8qvbvoDkMA,4.3,435.0
2008,新馬辣經典麻辣鍋 昆明店,ChIJG4wq2QipQjQRRHxq9Slwd80,4.6,4200.0
2010,頂呱呱,ChIJL9xZ1wipQjQRbcO7EUfr5mw,3.7,835.0
2011,樂麵屋 西門店,ChIJi0b12AipQjQRAzCoNJDN9Pc,4.2,2804.0
2012,肉倉韓式烤肉,ChIJJ1q10AipQjQRtvYvBBb1q28,3.8,3388.0
2013,根萊鐵板燒,ChIJx3dG1wipQjQRtgYsfBCJisA,4.3,805.0
2016,瞞著爹西門壽司丼,ChIJ27W6NnapQjQRxoMVa9jMVIg,4.0,111.0
2017,FANFANS CAFÉ 粉粉快閃主題餐廳 誠品武昌店,ChIJiew1ynqpQjQR16d2p9g_emw,3.5,158.0
2020,amba Taipei Ximending 台北西門町意舍酒店,ChIJX10H1gipQjQRfmZjnra3znU,4.3,1869.0
2021,金滿園,ChIJl9MJJgmpQjQRMFehAKN1HEo,3.7,1043.0
2024,鑫光雞肉飯,ChIJI0wY0y6pQjQRdBjHTgorVXc,4.2,110.0
2025,夯下去新潮和牛燒肉-西門店,ChIJ0a_edbipQjQRhUh72yLZvbM,4.8,2165.0
2026,釜山順豆腐,ChIJw3NvUQmpQjQRHzzQDT-xLKc,3.6,621.0
2027,天天利美食坊,ChIJsTvfsg6pQjQRCk_3ZI36rk0,4.2,5120.0
2028,阿毛茶室,ChIJ3_PCNwmpQjQRNFTqDVoqnXM,3.4,326.0
2029,源士林粥品,ChIJE6tDsg6pQjQRlvQnsskMEIc,4.1,205.0
2031,謝謝魷魚羹,ChIJsTvfsg6pQjQRZxKCBQJyznE,3.6,839.0
2032,CoCo Ichibanya,ChIJ2UflzAypQjQRlhZp39JRRNc,3.8,742.0
2033,夯肉殿炭火燒肉吃到飽(西門町燒肉吃到飽),ChIJEyPUtqypQjQRnIAG5BtvUR0,3.4,2140.0
2034,全真素食火鍋鐵板燒,ChIJw9k1SwmpQjQRvTpk2t-NrLU,4.4,1158.0
2037,SUSHI EXPRESS Ximen Restaurant,ChIJ90uFRgmpQjQRBzsdiDD8FYE,3.8,1918.0
2039,Mei & Mei,ChIJCxItsQ6pQjQRHHlt6DAgefg,3.6,245.0
2040,Oyami Caf'e,ChIJ9RKCOAmpQjQRqCFC6RsXhkE,4.5,3204.0
2044,西門町豆漿,ChIJ4YLlsQ6pQjQRvjMAENOBoZo,3.2,358.0
2045,宮武讃岐烏龍麵 西門店,ChIJT8nyh0epQjQRziS1pxA-g-Q,3.5,165.0
2046,157料理,ChIJcQY8MKipQjQRUUFUWrZM7Fg,4.1,110.0
2048,三十三間堂/台北美食/台北日本料理/台北無菜單料理/台北餐廳/萬華美食/西門町美食,ChIJ1UFLHaipQjQRC5ZDFnm8bpo,4.4,856.0
2050,Coba Sushi,ChIJX4JLHaipQjQRfvkdSezeSEs,4.5,1303.0
2051,福大同茶莊-台灣茶.茶.茶葉.老茶.茶葉禮盒.雲南普洱茶.烏龍茶.茶器具.紫砂壺.台北茶莊.萬華美食.茶具 お土産 tea. ecology.,ChIJ6QEdSqipQjQR6eRzGpcIQzQ,4.9,155.0
2052,涼粉伯,ChIJx0P0N6ipQjQReBGPnELBkxY,4.2,755.0
2056,牛店精燉牛肉麵,ChIJSzyDUAipQjQRPLcYN7ta84k,4.4,3300.0
2058,三媽臭臭鍋,ChIJJafvWQipQjQRVR1lOP_fM6U,3.7,1692.0
2062,燒肉眾精緻炭火燒肉 台北西門店,ChIJLcKGwK6pQjQRj_pcPWhlTMQ,4.9,5070.0
2065,Olympia,ChIJ7VvNVwipQjQRZeGpXQfZagw,3.9,587.0
2066,MOS BURGER Ximen Chengdu Shop,ChIJXWWgdzGpQjQRjSLXbd8MP5M,4.1,124.0
2067,"小樂沙茶火鍋(即日起休息至11/24,11/25開始營業)",ChIJee9-rQmpQjQRNqBrBRoClgU,4.3,292.0
2069,DonMono Ximen Restaurant,ChIJla61WAipQjQRWxI_aO0tBkc,3.7,718.0
2070,Somebody Cafe,ChIJrdn6PAmpQjQRaclry9PagdY,4.0,1247.0
2071,莎拉還有,ChIJN-e2afKpQjQR5qbrsT21ro0,4.8,115.0
2072,Ying Gang Shi Dim Sum Restaurant,ChIJw9YjmtGpQjQR9KQWMjBhQf0,4.3,549.0
2073,囍愛義廚館(FANCY PASTA),ChIJZ-rQtAmpQjQR8EtGCbLhhWM,4.4,689.0
2074,國賓鹹粥,ChIJH41P9gipQjQRFlBGLdHvKV4,2.7,524.0
2076,鑫鑫一元堂素餅之家,ChIJuVnsNQipQjQRjj08Y-3LHGk,4.4,184.0
2078,小蒙牛頂級麻辣養生鍋-西門店,ChIJ0R66R4-pQjQRjoSKCs1bBYA,4.6,3180.0
2079,鼎王麻辣鍋(西門町成都店),ChIJl_YflsepQjQR_exmne6lVpg,4.2,691.0
2080,Tulip TimeOut 西門店,ChIJN8PInTSpQjQRojRYwZSc2Tk,4.2,672.0
2082,瓦崎燒烤火鍋 西門店,ChIJ_dYna4apQjQRbD9ynpok9FA,4.5,2251.0
2083,繼光香香雞-西門店,ChIJF9lrcAmpQjQR9D574MrHTfw,3.9,732.0
2084,蜂之鄉 西門町門市,ChIJxVSohAmpQjQRg4fSlwKcNMo,4.8,349.0
2089,Mr.BROWNIE黑熊先生巧克力布朗尼,ChIJgzmBmAmpQjQRYLlbHdBgPZ0,4.7,1326.0
2092,甲天下 桂林米粉 螺螄粉 酸辣粉,ChIJacXuu9ypQjQR1Dr2wPHu3Fc,4.8,132.0
2095,Hungkan Dim Sum,ChIJ5-PXYwmpQjQRgP00DljFP6A,3.6,2123.0
2097,師園鹽酥雞 （西門店）,ChIJxy_7XjqpQjQRBkdsEvA9kig,4.4,1432.0
2099,Ay-Chung Flour-Rice Noodle,ChIJQXy1aAmpQjQR7UZhdHZCnLE,4.0,12408.0
2100,AWT Bistro(下班後餐酒館),ChIJN2JuVoupQjQR0mZsZrYMxf4,5.0,198.0
2101,Zhang Ji Fried Dumpling 北平一條龍餃子館,ChIJZ4AoaQmpQjQR5IIVsCD2G9A,3.8,576.0
2102,180duc Xian Su Ji,ChIJv_hm7aepQjQRKmsIABcq0cc,4.5,786.0
2103,辣中辣,ChIJ-Y7O8qepQjQRF15SW4DOvZE,4.5,149.0
2107,What Day Kitchen,ChIJX--8IQipQjQRs2uPQ15m7PI,4.3,3907.0
2110,好廚房 早午餐,ChIJ_____7OpQjQR8RGQhn0foIQ,3.9,311.0
2111,熊二日本料理,ChIJIRWjKwipQjQRYKUgRAMJ2i0,4.1,160.0
2112,宜蘭大溪港現撈海鮮熱炒,ChIJ58avLgipQjQRgX3cHGFdlw0,3.7,758.0
2113,漁村台灣料理,ChIJN0Kp1AmpQjQRAIjYR94_MjI,3.8,660.0
2117,八方雲集 (萬華貴陽店),ChIJ1ZI-eKepQjQRvWt3p0Z3jy4,3.0,646.0
2121,無名日本料理店（喬遷昆明街198）,ChIJrzVaOQipQjQRIb1WlUTHQsA,3.7,2448.0
2122,金澤NO.1咖哩-西門店,ChIJ2zUZgT-pQjQRhY41hQb3sKc,4.3,331.0
2124,湯包樂,ChIJ14xe_mSpQjQRGhTXcoXKWhA,4.7,300.0
2126,西門內疆串燒,ChIJIyBhNQipQjQR2kabc7Utjk4,4.1,288.0
2127,韓菜100,ChIJw__GyQmpQjQRtEhGRfVPnFo,3.9,1050.0
2130,開開看江浙小吃,ChIJi475b6epQjQRlF1j2NEtN54,4.1,956.0
2131,紅巷風味館,ChIJPZVQ1FipQjQRHqGDCfQ8glU,4.9,314.0
2132,La Grotta,ChIJBx1dGgypQjQRGruyWqNfxok,4.5,913.0
2134,全養知 異國蔬食 遠東寶慶店,ChIJLf42BJqpQjQRl7QRRxZn84I,4.8,298.0
2135,艋舺螺螄粉 桂林米粉,ChIJtVKLc66pQjQRY6z1XMAyucw,4.0,3792.0
2142,川業肉圓,ChIJ2cjD_r2pQjQRipwCCVwWTV0,4.6,610.0
2143,華西街台南擔仔麵 海鮮 -(米其林餐廳、人氣排隊美食、平價必吃),ChIJHVOyaqmpQjQR38Uv-AgJHcQ,4.3,447.0
2146,香家自助餐,ChIJC5-PyKipQjQRvWJoJ-Za1Ag,2.7,131.0
2149,小馬轉轉,ChIJ8_HrYqipQjQRc2kR5v6WAP4,4.6,276.0
2150,［台北萬華］拾柒鍋-當月壽星來店開鍋不限次數立即享有生日好禮五選一/生鮮外帶火鍋九折,ChIJoflIN6apQjQRAxWOtZiWVjY,4.6,396.0
2152,Zhouji Meat Porridge,ChIJDSmcpaipQjQRL-u9M3kY8Nk,3.9,3262.0
2157,金和壽司,ChIJ37PvrqipQjQRUV9aXtgbuKA,4.2,555.0
2169,郭家炒牛肉,ChIJKdpLqXKpQjQR8d6Dyoc8YLo,4.4,183.0
2171,Wang’s Broth,ChIJGaiHCqmpQjQReQD8Dmqjdvk,4.1,5776.0
