Unnamed: 0,name,place_id,rating,user_ratings_total
3205,福林鐵板燒,ChIJJToMmOABaDQRSJ-6Kr5TdQw,4.1,338.0
3207,三三活力早餐店,ChIJ18jYrd8BaDQRDxO6by-_jV4,4.2,1073.0
3208,BÁNH MÌ 越式法國麵包,ChIJ36saxkMBaDQRIREu6TmSr7Q,4.2,158.0
3209,品鮮樓,ChIJl8rKWScBaDQRFv7qFuf0HUg,3.9,249.0
3210,太子拉麵,ChIJafoTst8BaDQR5gbrykkjrEw,3.7,264.0
3211,漢堡王 木新店,ChIJpb-b0SMBaDQR898B7aBl5-c,4.7,389.0
3212,四海遊龍 木柵店,ChIJn5ENuROqQjQRIqnHho0lmI4,3.6,260.0
3214,真好味烤鴨莊,ChIJNZX3B98BaDQR-Qm4QzEq-_k,4.4,1951.0
3215,三尋九食臭臭鍋 （木柵店）,ChIJfev7qd8BaDQRzfNGc4txUWM,3.4,313.0
3216,家鄉小炒,ChIJ17lDB98BaDQR1aIdZ7KXLFk,3.8,194.0
3218,AnyBox 艾尼盒義式廚房,ChIJu5w0OXoBaDQRLOFDZ6P9nSs,4.4,111.0
3220,LIRA里拉義大利廚房,ChIJ0aAfEd8BaDQRNjnlm9gF9s4,4.1,1773.0
3224,東昇園,ChIJke4bMiwAaDQRNSpZMlJ4uLc,4.4,105.0
3226,貓空 上暘茶莊 SUNYANG TEAHOUSE,ChIJ8W5yd6sBaDQRT49BPxP8Vfg,4.8,116.0
3227,貓懶 MAOLAN,ChIJfzCuAQ8BaDQRz885zkbg0dI,4.0,484.0
3228,貓空 四爺,ChIJl9YAZZEBaDQR9c8XAqNXvhs,3.8,980.0
3229,奉陪茶莊,ChIJHwH_sC8AaDQR4JPPrq-ZgMY,4.1,173.0
3230,Big Tea Pot,ChIJHwH_sC8AaDQR98fQA8j-NX4,4.1,2011.0
3232,Dato Free-Range Chicken,ChIJ4-E58S0AaDQRjHhr3_REe_Y,4.0,164.0
3233,Shuang Hsiang Tea Garden,ChIJAYlgKi4AaDQRz6i8XmzXFoo,4.3,562.0
3235,談天園,ChIJhUvUfS0AaDQR68OSQ6AYPow,4.2,753.0
3236,貓空茶言觀舍,ChIJ_Y6YDzIAaDQRRdbdkfSUIPI,4.4,311.0
3237,貓空 找茶屋 found.your.tea,ChIJNdc2GH8BaDQRKB38TnUNpwg,4.4,517.0
3238,Redwood Tea House,ChIJNWsI2DEAaDQRFnzkcY3c-c8,4.2,826.0
3239,Four Brothers Restaurant,ChIJHbs61jEAaDQRaDrp756YR4g,4.1,1495.0
3240,Daguanyuan Restaurant,ChIJEX5HEjIAaDQRx_Yb54zzlUI,3.9,649.0
3241,Mountain Tea House,ChIJp5x9U9UBaDQRrOc_7VNZB48,4.5,639.0
3242,Dragon Inn,ChIJi_wfbTIAaDQRglsYk5vXA3k,3.9,2651.0
3243,Jheng Da Tea Garden,ChIJi9a4HS4AaDQR6ZmHtcK5oOk,4.2,760.0
3244,Maokong Ching Chuen Square,ChIJPRAiKC4AaDQRXFOh5Sax_WQ,4.3,354.0
3245,Shiao Mu Teahouse,ChIJofO6azIAaDQRi73aug91cuE,4.0,2728.0
3246,Qing Quan Villa,ChIJBU_cKzAAaDQRcCcJUAS4lmM,4.4,1841.0
3247,Yao Yue Teahouse,ChIJGeXVHiUAaDQRh5iAH6qA7E4,4.2,3272.0
3249,Cai Geng Zhi Tea,ChIJw2jGC84BaDQRMwWD6bqAddE,4.7,101.0
3250,晨曦茶坊,ChIJI6uct4_VDRQRlykE1CcUSq8,4.4,309.0
3252,野山土雞園,ChIJf16omcYBaDQR7roF8RIp3rI,4.4,168.0
3253,慈音山莊｜慈音休閒,ChIJ0QH-x8YBaDQRfSiHy3AFL_s,4.2,458.0
3254,Pizza Hut,ChIJh9qrSxOpQjQRWF3RtcG5kL8,4.4,672.0
3255,溫州大餛飩,ChIJ2UCU1mypQjQRK8_idTOPUt0,3.9,283.0
3256,Ba Fang Yun Ji Dumpling,ChIJVeQ2JG-pQjQR7BoME8S2VLs,2.3,196.0
3259,滿穗台菜,ChIJG9CYlmCpQjQRoIePTJdidE4,4.1,1406.0
3260,上海故事,ChIJ8ZqxE2GpQjQRej-H4f8VwLU,4.1,433.0
3261,十方齋素食館,ChIJ5XAtNmGpQjQRoN4tXoAXfZg,4.1,174.0
3262,丼賞和食焼き物vs刺身丼丼專門店,ChIJ9240AWGpQjQRYkqzSvuO47I,4.4,4446.0
3263,泰迪農園咖哩－一江店,ChIJ0Rtax4-pQjQRbX1kCGOEy1o,4.4,366.0
